tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
6037602513,51500,518,Very Low Income,Yes,No,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,3038,19444024.9628906,21159.6271808489
6037602601,70125,1654,Low Income,Yes,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,3039,13982492.7480469,15873.8024251267
6037602602,50491,1099,Very Low Income,Yes,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,3040,6988441.27539063,10566.780582067
6037602700,91484,1222,Low Income,No,No,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,3041,26741270.9814453,21485.9075411279
6037602801,31477,1259,Extremely Low Income,Yes,Yes,Yes,District 2,Unincorporated - Athens-Westmont,SPA 8 - South Bay,3042,13492811.5126953,15760.447396626
6037602802,76810,1320,Low Income,Yes,No,Yes,District 2,Unincorporated - Athens-Westmont,SPA 8 - South Bay,3043,14412133.2138672,16013.2096293316
6037602900,59375,1373,Low Income,Yes,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,3044,30106415.8769531,27254.9326058834
6037603004,63029,621,Low Income,Yes,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,3045,2438807.34375,8205.62061625655
6037603005,61438,1963,Low Income,Yes,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,3046,7010468.77441406,10584.6085300634
6037603006,75756,782,Low Income,Yes,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,3047,7390683.05371094,10957.6421241135
6037603007,58715,1223,Very Low Income,Yes,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,3048,7207514.77929688,14307.4546567801
6037603008,51304,1140,Very Low Income,Yes,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,3049,5025206.2109375,10814.9240859284
6037603101,57568,1488,Very Low Income,Yes,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,3050,9488447.9765625,12618.0128086367
6037603102,62527,1167,Low Income,Yes,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,3051,8013876.79101563,11371.0015759053
6037603200,82237,1268,Low Income,No,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,3052,12283479.7275391,21847.6417374379
6037601801,41890,852,Very Low Income,Yes,Yes,Yes,District 2,City of Inglewood,SPA 8 - South Bay,3053,5234143.03320313,10548.0233136592
